Index,Taille,Poids
1,167,51
2,182,62
3,176,69
4,173,65
5,172,65
6,174,56
7,177,64
8,178,62
9,172,51
10,170,55
11,169,58
12,172,52
13,173,57
14,170,56
15,173,53
16,181,64
17,169,59
18,174,65
19,181,63
20,171,56
21,172,64
22,175,65
23,161,44
24,174,59
25,172,64
26,171,59
27,180,65
28,171,60
29,169,49
30,166,52
31,177,47
32,167,55
33,172,57
34,179,62
35,182,64
36,176,58
37,170,64
38,172,55
39,172,60
40,163,48
41,174,56
42,166,57
43,177,63
44,173,62
45,168,48
46,174,58
47,170,66
48,172,53
49,177,65
50,175,61
51,178,67
52,171,57
53,178,57
54,176,52
55,166,56
56,178,67
57,179,71
58,169,58
59,169,54
60,172,61
61,169,58
62,175,62
63,173,59
64,170,58
65,180,61
66,173,50
67,175,65
68,172,60
69,171,47
70,171,57
71,166,59
72,180,61
73,178,64
74,163,47
75,173,58
76,169,55
77,174,63
78,166,60
79,177,52
80,172,56
81,174,61
82,170,55
83,178,70
84,168,58
85,176,59
86,176,63
87,171,64
88,178,60
89,178,55
90,173,60
91,173,62
92,178,64
93,182,64
94,176,51
95,178,61
96,179,60
97,168,54
98,161,56
99,170,58
100,175,52
101,165,46
102,170,59
103,174,61
104,167,45
105,172,52
106,173,56
107,172,56
108,168,57
109,176,58
110,162,58
111,172,55
112,178,58
113,178,60
114,168,51
115,178,55
116,174,58
117,175,60
118,177,62
119,166,53
120,175,62
121,167,54
122,171,49
123,176,58
124,175,61
125,173,48
126,167,56
127,169,50
128,173,54
129,175,64
130,178,61
131,173,60
132,181,59
133,176,52
134,164,56
135,181,58
136,173,62
137,167,53
138,171,58
139,188,69
140,178,59
141,177,62
142,166,51
143,173,57
144,174,58
145,166,49
146,173,53
147,174,61
148,164,51
149,175,59
150,175,62
151,177,57
152,171,63
153,169,55
154,168,64
155,184,62
156,163,48
157,180,72
158,171,49
159,183,63
160,166,53
161,170,66
162,164,50
163,176,63
164,174,54
165,166,58
166,171,58
167,174,52
168,168,57
169,171,58
170,168,50
171,176,56
172,173,56
173,172,57
174,166,54
175,188,63
176,170,48
177,170,56
178,167,54
179,168,55
180,169,54
181,170,61
182,167,53
183,170,50
184,175,56
185,168,64
186,168,59
187,174,58
188,169,55
189,170,58
190,173,46
191,178,66
192,166,50
193,171,60
194,171,66
195,177,66
196,167,55
197,168,53
198,173,58
199,173,58
200,181,58
201,167,55
202,169,51
203,178,61
204,176,58
205,174,56
206,174,64
207,174,53
208,175,65
209,178,64
210,182,71
211,174,61
212,169,59
213,169,48
214,173,51
215,175,62
216,171,60
217,177,60
218,172,54
219,175,53
220,173,63
221,167,50
222,167,59
223,181,62
224,172,52
225,165,52
226,177,58
227,178,55
228,168,54
229,174,58
230,175,54
231,170,57
232,173,64
233,177,66
234,182,53
235,185,62
236,171,60
237,171,52
238,174,52
239,174,68
240,174,64
241,162,61
242,172,64
243,176,63
244,169,61
245,166,53
246,178,52
247,177,61
248,166,55
249,174,54
250,167,38
251,178,63
252,168,65
253,173,56
254,166,52
255,176,55
256,172,55
257,171,56
258,170,53
259,173,58
260,169,53
261,178,55
262,172,56
263,169,49
264,162,47
265,173,60
266,170,58
267,168,57
268,180,60
269,180,55
270,186,59
271,162,53
272,172,57
273,172,46
274,171,54
275,170,62
276,175,54
277,174,56
278,164,57
279,165,57
280,170,55
281,170,60
282,178,58
283,172,57
284,168,47
285,175,61
286,167,46
287,173,66
288,178,70
289,178,63
290,169,53
291,176,55
292,170,52
293,172,60
294,176,42
295,172,60
296,167,54
297,168,59
298,171,59
299,165,59
300,176,65
301,175,63
302,177,59
303,175,56
304,173,61
305,175,56
306,161,50
307,167,59
308,176,58
309,177,55
310,171,54
311,175,56
312,174,69
313,173,52
314,170,56
315,181,59
316,176,63
317,166,65
318,169,55
319,173,51
320,184,68
321,173,59
322,169,56
323,171,61
324,168,61
325,169,63
326,173,51
327,167,55
328,176,52
329,164,50
330,176,57
331,171,54
332,172,54
333,176,68
334,172,55
335,170,54
336,178,65
337,178,66
338,180,58
339,168,53
340,166,47
341,175,63
342,177,66
343,179,56
344,171,56
345,172,57
346,172,63
347,169,55
348,175,52
349,174,59
350,177,62
351,178,61
352,172,58
353,173,52
354,171,60
355,173,58
356,175,57
357,176,54
358,178,64
359,175,62
360,163,54
361,168,59
362,176,69
363,177,55
364,174,62
365,173,59
366,176,60
367,174,63
368,184,76
369,179,58
370,167,60
371,169,56
372,180,64
373,171,65
374,172,62
375,173,57
376,175,65
377,172,56
378,164,49
379,167,46
380,174,53
381,175,64
382,173,57
383,176,61
384,184,62
385,168,58
386,176,56
387,175,53
388,169,56
389,176,57
390,172,49
391,176,65
392,171,54
393,169,54
394,175,60
395,162,54
396,175,57
397,169,57
398,170,52
399,172,53
400,169,59
401,170,57
402,167,53
403,178,62
404,176,68
405,178,69
406,165,53
407,177,63
408,172,58
409,162,55
410,182,65
411,165,48
412,164,55
413,158,49
414,166,57
415,172,50
416,180,61
417,173,52
418,171,57
419,180,53
420,172,61
421,171,49
422,173,61
423,166,60
424,174,59
425,178,58
426,176,54
427,170,48
428,166,61
429,178,60
430,172,57
431,177,57
432,172,65
433,180,57
434,177,56
435,170,56
436,172,60
437,166,56
438,180,58
439,181,62
440,169,54
441,173,55
442,173,54
443,181,57
444,170,59
445,181,61
446,176,66
447,176,74
448,174,59
449,177,60
450,175,58
451,173,57
452,176,61
453,173,55
454,172,57
455,175,66
456,177,54
457,170,51
458,183,63
459,171,61
460,168,53
461,167,56
462,173,62
463,180,69
464,180,57
465,171,66
466,177,61
467,169,49
468,174,50
469,170,63
470,174,54
471,173,52
472,179,60
473,167,43
474,167,58
475,174,61
476,169,57
477,170,56
478,178,61
479,172,61
480,174,59
481,177,63
482,174,57
483,173,60
484,173,60
485,165,53
486,176,57
487,176,58
488,180,65
489,175,63
490,168,50
491,180,60
492,175,59
493,180,56
494,168,57
495,177,68
496,170,64
497,175,58
498,170,55
499,171,51
500,164,61
501,174,55
502,172,53
503,181,58
504,179,61
505,182,54
506,170,48
507,168,57
508,165,52
509,174,59
510,173,56
511,175,56
512,178,57
513,174,51
514,174,57
515,170,54
516,179,60
517,176,60
518,172,53
519,165,46
520,176,58
521,175,61
522,172,58
523,173,58
524,167,63
525,165,52
526,174,67
527,169,60
528,176,60
529,167,48
530,168,58
531,176,59
532,171,58
533,167,56
534,176,71
535,169,55
536,175,67
537,172,53
538,177,60
539,173,54
540,181,56
541,169,59
542,168,56
543,173,49
544,173,54
545,170,57
546,182,67
547,168,68
548,175,58
549,175,58
550,165,54
551,168,57
552,181,68
553,172,49
554,175,61
555,173,57
556,172,51
557,172,58
558,177,61
559,173,63
560,176,57
561,179,59
562,172,61
563,172,48
564,173,58
565,170,55
566,182,68
567,163,53
568,173,57
569,178,60
570,178,59
571,170,59
572,178,67
573,175,48
574,173,50
575,176,54
576,174,56
577,167,57
578,177,62
579,167,53
580,175,57
581,175,60
582,171,63
583,179,56
584,178,62
585,165,52
586,176,60
587,174,65
588,167,61
589,163,56
590,178,70
591,174,57
592,173,61
593,172,61
594,168,54
595,177,55
596,167,60
597,170,63
598,171,50
599,179,70
600,178,56
601,167,61
602,184,63
603,178,68
604,172,58
605,168,53
606,178,68
607,173,58
608,175,59
609,169,57
610,178,58
611,167,56
612,174,69
613,165,49
614,177,66
615,169,55
616,179,59
617,178,62
618,178,56
619,171,60
620,173,53
621,172,59
622,165,56
623,169,52
624,170,53
625,167,63
626,170,56
627,169,60
628,178,65
629,178,60
630,164,45
631,173,56
632,171,47
633,180,65
634,173,59
635,181,65
636,173,65
637,166,49
638,169,48
639,181,57
640,175,48
641,168,54
642,177,62
643,181,66
644,168,59
645,168,49
646,172,55
647,169,62
648,178,62
649,181,56
650,174,58
651,175,61
652,173,48
653,168,51
654,168,57
655,181,64
656,172,65
657,181,66
658,173,58
659,171,61
660,175,64
661,174,66
662,170,60
663,170,55
664,167,60
665,166,59
666,173,57
667,179,69
668,167,56
669,177,61
670,173,52
671,178,54
672,174,57
673,176,61
674,172,59
675,180,60
676,179,67
677,182,70
678,174,57
679,176,61
680,179,61
681,171,58
