recherche,mission 001
- Comment importer un fichier csv ?,TRUE
- Comment vérifier les formats des colonnes d'un dataframe ?,TRUE
- Comment visualiser les colonnes d'un dataframe ?,TRUE
- Comment sélectionner des colonnes d'un dataframe ?,TRUE
- Comment remplacer des valeurs dans un dataframe ?,TRUE
- Comment remplacer le format d'une colonne d'un dataframe ?,TRUE
- Comment retourner la somme des valeurs des lignes d'un dataframe ?,TRUE
- Comment créer une colonne dans un dataframe ?,TRUE
- Comment retourner la somme des valeurs des colonnes d'un dataframe ?,TRUE
- read_csv(),TRUE
- dtypes,TRUE
- columns,TRUE
- replace(),TRUE
- astype,TRUE
- sum(),TRUE
- set_index(),TRUE
